DATE,Open,High,Low,Close,PREVIOUS DAY,VOLUME,POSITIVE TWEETS,NEGATIVE TWEETS,sentiments
12315,3.4,3.45,3.35,3.4,3.28,3240000,21,29,-1
12415,3.4,3.5,3.4,3.45,3.4,6090000,23,25,-1
12515,3.45,3.45,3.35,3.4,3.45,7290000,27,63,-1
12615,3.4,3.45,3.35,3.4,3.4,31800000,38,48,-1
12715,3.4,3.5,3.4,3.4,3.4,7570000,36,-6,1
12815,3.4,3.45,3.4,3.45,3.4,1820000,48,14,1
12915,3.45,3.5,3.4,3.45,3.45,17700000,43,42,1
13015,3.45,3.55,3.45,3.5,3.45,6220000,46,16,1
13115,3.5,3.55,3.5,3.5,3.5,3430000,21,20,1
20115,3.5,3.55,3.5,3.5,3.5,6430000,14,20,-1
20215,3.5,3.55,3.5,3.5,3.5,4820000,10,23,-1
20315,3.5,3.55,3.45,3.5,3.5,14200000,38,-12,1
20415,3.5,3.5,3.4,3.45,3.5,14900000,29,-3,1
20515,3.45,3.45,3.35,3.4,3.45,3040000,50,24,1
20615,3.4,3.55,3.4,3.45,3.4,4160000,31,39,-1
20715,3.45,3.65,3.5,3.6,3.45,7460000,42,35,1
20815,3.6,3.7,3.6,3.65,3.6,12100000,31,-13,1
20915,3.65,3.7,3.5,3.55,3.65,945000000,18,32,-1
21015,3.55,3.6,3.45,3.55,3.55,1500000,48,1,1
21115,3.55,3.6,3.55,3.56,3.55,910000000,29,33,-1
21215,3.55,3.6,3.55,3.55,3.56,1250000,29,30,-1
21315,3.55,3.6,3.55,3.55,3.55,6930000,48,15,1
21415,3.55,3.6,3.55,3.55,3.55,6160000,19,51,-1
21515,3.55,3.65,3.55,3.6,3.55,6850000,30,45,-1
21615,3.6,3.65,3.55,3.55,3.6,1490000,35,5,1
21715,3.55,3.7,3.55,3.6,3.55,9180000,20,38,-1
21815,3.6,3.75,3.6,3.65,3.6,2050000,17,45,-1
21915,3.65,3.8,3.65,3.75,3.65,2800000,38,-5,1
22015,3.75,3.9,3.75,3.85,3.75,16500000,48,40,1
22115,3.85,3.95,3.85,3.9,3.85,2550000,10,12,-1
22215,3.9,4,3.85,3.9,3.9,1620000,24,18,1
22315,3.9,3.95,3.85,3.85,3.9,1450000,39,23,1
22415,3.85,4,3.9,3.95,3.85,27700000,17,-6,1
22515,3.95,4,3.9,3.95,3.95,21400000,17,40,-1
22615,3.95,3.95,3.8,3.9,3.95,14600000,26,37,-1
22715,3.9,3.9,3.7,3.8,3.9,11900000,49,45,1
22815,3.8,3.9,3.8,3.8,3.8,2060000,33,27,1
30115,3.8,3.85,3.8,3.8,3.8,1500000,19,5,1
30215,3.8,3.95,3.8,3.85,3.8,5910000,30,34,-1
30315,3.85,3.95,3.9,3.95,3.85,19400000,11,45,-1
30415,3.95,3.95,3.8,3.85,3.95,1270000,34,18,1
30515,3.85,3.95,3.85,3.85,3.85,3610000,43,16,1
30615,3.85,3.9,3.8,3.85,3.85,2410000,50,31,1
